id,name_de,name_en,din_277,din_277_desc,din277_name
0101.02.157,Büro,Office,NF2.1,Büroräume,
0104.U1.403,Büro,Office,NF2.1,,
0104.U1.403A,Büro,Office,NF2.1,Büroräume,
0101.EG.128,Fachschaft EI,Student Council EI,NF2.1,Büroräume,
0104.U1.412,Kiosk,Kiosk,NF4.5,,
0201.EG.004,WC,WC,NF7.1,Sanitärräume,
0201.01.005,WC,WC,NF7.1,Sanitärräume,
0201.03.004,WC,WC,NF7.1,Sanitärräume,
0201.01.006,WC,WC,NF7.1,Sanitärräume,
0201.03.005,WC,WC,NF7.1,Sanitärräume,
0201.EG.005,WC,WC,NF7.1,Sanitärräume,
0201.02.005,WC,WC,NF7.1,Sanitärräume,
0201.02.006,WC,WC,NF7.1,Sanitärräume,
0503.EG.347,Archiv,Archive,NF4.2,"Archive, Sammlungsräume",
0504.03.407,Büro,Office,NF2.1,Büroräume,
0504.03.409,Büro,Office,NF2.1,Büroräume,
0509.EG.926,WC,WC,NF7.1,Sanitärräume,
0509.Z1.926,WC Damen,WC Women,NF7.1,Sanitärräume,
5410,Labor - Chemie,Laboratory - Chemistry,NF3.5,,
5501.02.141,Besprechungsraum,Meeting room,NF2.3,Besprechungsräume,
5501.02.142,Besprechungsraum,Meeting room,NF2.3,Besprechungsräume,
5506.02.619A,Labor,Labor,NF3.3,Labor,
5510.EG.014N,Werkstatt,Workshop,NF3.2,,Werkstätten
5532.02.211,WC Damen,WC Women,NF7.1,Sanitärräume,
5107.U1.114,Büro,Office,NF2.1,Büroräume,
5606.EG.033,Küche,Kitchen,NF3.8,,
5606.EG.039,Geschäftsraum,Retail space,NF4.5,Verkaufsräume,
5607.EG.018,WC,WC,NF7.1,Sanitärräume,
5510.EG.011M,Geschäftsraum,Retail space,NF4.5,Verkaufsräume,
5502.02.225,Büro,Office,NF2.1,Büroräume,
5501.02.150,Büro,Office,NF2.1,Büroräume,
5515.EG.001,WC-Damen,WC Women,NF7.1,Sanitärräume,
5506.EG.690C,Werkstatt,Workshop,NF3.2,,Werkstätten
5506.U1.632,Büro,Office,NF2.1,Büroräume,
